"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Var.7","Var.8","Attend.","Notes"
"21","Tue, Dec 4, 2018","8:30p","Portland Trail Blazers",102,"Dallas Mavericks",111,"Box Score","","19,341",""
"22","Tue, Dec 4, 2018","7:00p","Chicago Bulls",90,"Indiana Pacers",96,"Box Score","","16,446",""
"23","Tue, Dec 4, 2018","7:30p","Orlando Magic",105,"Miami Heat",90,"Box Score","","19,600",""
"24","Tue, Dec 4, 2018","9:00p","Sacramento Kings",122,"Phoenix Suns",105,"Box Score","","12,977",""
"25","Tue, Dec 4, 2018","9:00p","San Antonio Spurs",105,"Utah Jazz",139,"Box Score","","18,306",""
"26","Wed, Dec 5, 2018","7:30p","Washington Wizards",131,"Atlanta Hawks",117,"Box Score","","12,551",""
"27","Wed, Dec 5, 2018","7:30p","Oklahoma City Thunder",114,"Brooklyn Nets",112,"Box Score","","13,161",""
"28","Wed, Dec 5, 2018","7:00p","Golden State Warriors",129,"Cleveland Cavaliers",105,"Box Score","","19,432",""
"29","Wed, Dec 5, 2018","10:30p","San Antonio Spurs",113,"Los Angeles Lakers",121,"Box Score","","18,997",""
"30","Wed, Dec 5, 2018","8:00p","Los Angeles Clippers",86,"Memphis Grizzlies",96,"Box Score","","14,144",""
"31","Wed, Dec 5, 2018","8:00p","Detroit Pistons",92,"Milwaukee Bucks",115,"Box Score","","16,541",""
"32","Wed, Dec 5, 2018","8:00p","Charlotte Hornets",104,"Minnesota Timberwolves",121,"Box Score","","11,248",""
"33","Wed, Dec 5, 2018","8:00p","Dallas Mavericks",106,"New Orleans Pelicans",132,"Box Score","","14,810",""
"34","Wed, Dec 5, 2018","7:00p","Denver Nuggets",124,"Orlando Magic",118,"Box Score","OT","16,636",""
"35","Wed, Dec 5, 2018","8:00p","Philadelphia 76ers",102,"Toronto Raptors",113,"Box Score","","19,800",""
"36","Thu, Dec 6, 2018","8:00p","New York Knicks",100,"Boston Celtics",128,"Box Score","","18,624",""
"37","Thu, Dec 6, 2018","10:00p","Phoenix Suns",86,"Portland Trail Blazers",108,"Box Score","","19,001",""
"38","Thu, Dec 6, 2018","10:30p","Houston Rockets",91,"Utah Jazz",118,"Box Score","","18,306",""
"39","Fri, Dec 7, 2018","7:30p","Toronto Raptors",105,"Brooklyn Nets",106,"Box Score","OT","14,035",""
"40","Fri, Dec 7, 2018","8:00p","Oklahoma City Thunder",112,"Chicago Bulls",114,"Box Score","","19,842",""
"41","Fri, Dec 7, 2018","7:00p","Denver Nuggets",107,"Charlotte Hornets",113,"Box Score","","13,755",""
"42","Fri, Dec 7, 2018","7:30p","Sacramento Kings",129,"Cleveland Cavaliers",110,"Box Score","","19,432",""
"43","Fri, Dec 7, 2018","7:00p","Philadelphia 76ers",117,"Detroit Pistons",111,"Box Score","","15,680",""
"44","Fri, Dec 7, 2018","9:30p","Golden State Warriors",105,"Milwaukee Bucks",95,"Box Score","","17,852",""
"45","Fri, Dec 7, 2018","8:00p","Memphis Grizzlies",107,"New Orleans Pelicans",103,"Box Score","","18,447",""
"46","Fri, Dec 7, 2018","7:00p","Indiana Pacers",112,"Orlando Magic",90,"Box Score","","17,214",""
"47","Fri, Dec 7, 2018","9:00p","Miami Heat",115,"Phoenix Suns",98,"Box Score","","14,273",""
"48","Fri, Dec 7, 2018","8:30p","Los Angeles Lakers",120,"San Antonio Spurs",133,"Box Score","","18,354",""
"49","Sat, Dec 8, 2018","7:30p","Denver Nuggets",98,"Atlanta Hawks",106,"Box Score","","14,409",""
"50","Sat, Dec 8, 2018","8:00p","Boston Celtics",133,"Chicago Bulls",77,"Box Score","","20,923",""
"51","Sat, Dec 8, 2018","7:30p","Washington Wizards",101,"Cleveland Cavaliers",116,"Box Score","","19,432",""
"52","Sat, Dec 8, 2018","6:00p","Houston Rockets",104,"Dallas Mavericks",107,"Box Score","","20,254",""
"53","Sat, Dec 8, 2018","7:00p","Sacramento Kings",97,"Indiana Pacers",107,"Box Score","","16,867",""
"54","Sat, Dec 8, 2018","10:30p","Miami Heat",121,"Los Angeles Clippers",98,"Box Score","","17,113",""
"55","Sat, Dec 8, 2018","8:00p","Los Angeles Lakers",111,"Memphis Grizzlies",88,"Box Score","","17,794",""
"56","Sat, Dec 8, 2018","7:30p","Brooklyn Nets",112,"New York Knicks",104,"Box Score","","18,662",""
"57","Sat, Dec 8, 2018","10:00p","Minnesota Timberwolves",105,"Portland Trail Blazers",113,"Box Score","","19,359",""
"58","Sun, Dec 9, 2018","3:30p","New Orleans Pelicans",116,"Detroit Pistons",108,"Box Score","","14,705",""
"59","Sun, Dec 9, 2018","7:30p","Charlotte Hornets",119,"New York Knicks",107,"Box Score","","18,602",""
"60","Sun, Dec 9, 2018","7:00p","Utah Jazz",97,"San Antonio Spurs",110,"Box Score","","17,834",""
"61","Sun, Dec 9, 2018","6:00p","Milwaukee Bucks",104,"Toronto Raptors",99,"Box Score","","19,800",""
"62","Mon, Dec 10, 2018","7:30p","New Orleans Pelicans",100,"Boston Celtics",113,"Box Score","","18,624",""
"63","Mon, Dec 10, 2018","8:00p","Sacramento Kings",108,"Chicago Bulls",89,"Box Score","","18,164",""
"64","Mon, Dec 10, 2018","8:30p","Orlando Magic",76,"Dallas Mavericks",101,"Box Score","","19,334",""
"65","Mon, Dec 10, 2018","9:00p","Memphis Grizzlies",99,"Denver Nuggets",105,"Box Score","","15,278",""
"66","Mon, Dec 10, 2018","10:30p","Minnesota Timberwolves",108,"Golden State Warriors",116,"Box Score","","19,596",""
"67","Mon, Dec 10, 2018","7:00p","Washington Wizards",101,"Indiana Pacers",109,"Box Score","","14,645",""
"68","Mon, Dec 10, 2018","10:30p","Miami Heat",105,"Los Angeles Lakers",108,"Box Score","","18,997",""
"69","Mon, Dec 10, 2018","8:00p","Cleveland Cavaliers",92,"Milwaukee Bucks",108,"Box Score","","17,155",""
"70","Mon, Dec 10, 2018","8:00p","Utah Jazz",113,"Oklahoma City Thunder",122,"Box Score","","18,203",""
"71","Mon, Dec 10, 2018","7:00p","Detroit Pistons",102,"Philadelphia 76ers",116,"Box Score","","20,199",""
"72","Mon, Dec 10, 2018","9:00p","Los Angeles Clippers",123,"Phoenix Suns",119,"Box Score","OT","12,088",""
"73","Tue, Dec 11, 2018","8:00p","Portland Trail Blazers",104,"Houston Rockets",111,"Box Score","","18,055",""
"74","Tue, Dec 11, 2018","10:30p","Toronto Raptors",123,"Los Angeles Clippers",99,"Box Score","","17,812",""
"75","Tue, Dec 11, 2018","8:30p","Phoenix Suns",86,"San Antonio Spurs",111,"Box Score","","17,676",""
"76","Wed, Dec 12, 2018","7:00p","Detroit Pistons",107,"Charlotte Hornets",108,"Box Score","","13,997",""
"77","Wed, Dec 12, 2018","7:00p","New York Knicks",106,"Cleveland Cavaliers",113,"Box Score","","19,432",""
"78","Wed, Dec 12, 2018","8:30p","Atlanta Hawks",107,"Dallas Mavericks",114,"Box Score","","19,643",""
"79","Wed, Dec 12, 2018","10:30p","Toronto Raptors",113,"Golden State Warriors",93,"Box Score","","19,596",""
"80","Wed, Dec 12, 2018","7:00p","Milwaukee Bucks",97,"Indiana Pacers",113,"Box Score","","17,070",""
"81","Wed, Dec 12, 2018","8:00p","Portland Trail Blazers",83,"Memphis Grizzlies",92,"Box Score","","16,282",""
"82","Wed, Dec 12, 2018","8:00p","Oklahoma City Thunder",114,"New Orleans Pelicans",118,"Box Score","","14,450",""
"83","Wed, Dec 12, 2018","7:00p","Brooklyn Nets",127,"Philadelphia 76ers",124,"Box Score","","20,376",""
"84","Wed, Dec 12, 2018","10:00p","Minnesota Timberwolves",130,"Sacramento Kings",141,"Box Score","","15,770",""
"85","Wed, Dec 12, 2018","9:00p","Miami Heat",84,"Utah Jazz",111,"Box Score","","18,306",""
"86","Wed, Dec 12, 2018","7:00p","Boston Celtics",130,"Washington Wizards",125,"Box Score","OT","20,409",""
"87","Thu, Dec 13, 2018","8:00p","Los Angeles Lakers",111,"Houston Rockets",126,"Box Score","","18,055",""
"88","Thu, Dec 13, 2018","9:30p","Chicago Bulls",91,"Orlando Magic",97,"Box Score","","20,201","at Mexico City, Mexico"
"89","Thu, Dec 13, 2018","10:30p","Dallas Mavericks",89,"Phoenix Suns",99,"Box Score","","13,265",""
"90","Thu, Dec 13, 2018","8:30p","Los Angeles Clippers",87,"San Antonio Spurs",125,"Box Score","","18,354",""
"91","Fri, Dec 14, 2018","7:00p","Atlanta Hawks",108,"Boston Celtics",129,"Box Score","","18,624",""
"92","Fri, Dec 14, 2018","7:30p","Washington Wizards",118,"Brooklyn Nets",125,"Box Score","","13,232",""
"93","Fri, Dec 14, 2018","7:00p","New York Knicks",126,"Charlotte Hornets",124,"Box Score","OT","17,622",""
"94","Fri, Dec 14, 2018","7:30p","Milwaukee Bucks",114,"Cleveland Cavaliers",102,"Box Score","","19,432",""
"95","Fri, Dec 14, 2018","10:00p","Oklahoma City Thunder",98,"Denver Nuggets",109,"Box Score","","19,520",""
"96","Fri, Dec 14, 2018","8:00p","Miami Heat",100,"Memphis Grizzlies",97,"Box Score","","16,313",""
"97","Fri, Dec 14, 2018","7:30p","Indiana Pacers",113,"Philadelphia 76ers",101,"Box Score","","20,337",""
"98","Fri, Dec 14, 2018","10:00p","Toronto Raptors",122,"Portland Trail Blazers",128,"Box Score","","19,458",""
"99","Fri, Dec 14, 2018","10:00p","Golden State Warriors",130,"Sacramento Kings",125,"Box Score","","17,583",""
"100","Sat, Dec 15, 2018","7:00p","Los Angeles Lakers",128,"Charlotte Hornets",100,"Box Score","","19,641",""
"101","Sat, Dec 15, 2018","7:00p","Boston Celtics",104,"Detroit Pistons",113,"Box Score","","17,078",""
"102","Sat, Dec 15, 2018","8:00p","Houston Rockets",105,"Memphis Grizzlies",97,"Box Score","","16,777",""
"103","Sat, Dec 15, 2018","9:00p","Los Angeles Clippers",104,"Oklahoma City Thunder",110,"Box Score","","18,203",""
"104","Sat, Dec 15, 2018","5:00p","Utah Jazz",89,"Orlando Magic",96,"Box Score","","20,011","at Mexico City, Mexico"
"105","Sat, Dec 15, 2018","9:00p","Minnesota Timberwolves",99,"Phoenix Suns",107,"Box Score","","14,244",""
"106","Sat, Dec 15, 2018","8:30p","Chicago Bulls",98,"San Antonio Spurs",93,"Box Score","","18,354",""
"107","Sun, Dec 16, 2018","3:00p","Atlanta Hawks",127,"Brooklyn Nets",144,"Box Score","","13,955",""
"108","Sun, Dec 16, 2018","3:30p","Philadelphia 76ers",128,"Cleveland Cavaliers",105,"Box Score","","19,432",""
"109","Sun, Dec 16, 2018","7:00p","Sacramento Kings",120,"Dallas Mavericks",113,"Box Score","","19,935",""
"110","Sun, Dec 16, 2018","8:00p","Toronto Raptors",86,"Denver Nuggets",95,"Box Score","","19,520",""
"111","Sun, Dec 16, 2018","5:00p","New York Knicks",99,"Indiana Pacers",110,"Box Score","","16,646",""
"112","Sun, Dec 16, 2018","7:00p","Miami Heat",102,"New Orleans Pelicans",96,"Box Score","","15,535",""
"113","Sun, Dec 16, 2018","6:00p","Los Angeles Lakers",110,"Washington Wizards",128,"Box Score","","20,409",""
"114","Mon, Dec 17, 2018","7:00p","Milwaukee Bucks",107,"Detroit Pistons",104,"Box Score","","15,051",""
"115","Mon, Dec 17, 2018","10:30p","Memphis Grizzlies",93,"Golden State Warriors",110,"Box Score","","19,596",""
"116","Mon, Dec 17, 2018","8:00p","Utah Jazz",97,"Houston Rockets",102,"Box Score","","18,055",""
"117","Mon, Dec 17, 2018","10:30p","Portland Trail Blazers",131,"Los Angeles Clippers",127,"Box Score","","16,030",""
"118","Mon, Dec 17, 2018","8:00p","Sacramento Kings",105,"Minnesota Timberwolves",132,"Box Score","","12,417",""
"119","Mon, Dec 17, 2018","7:30p","Phoenix Suns",128,"New York Knicks",110,"Box Score","","18,437",""
"120","Mon, Dec 17, 2018","8:00p","Chicago Bulls",96,"Oklahoma City Thunder",121,"Box Score","","18,203",""
"121","Mon, Dec 17, 2018","8:30p","Philadelphia 76ers",96,"San Antonio Spurs",123,"Box Score","","17,486",""
"122","Tue, Dec 18, 2018","7:30p","Washington Wizards",110,"Atlanta Hawks",118,"Box Score","","16,489",""
"123","Tue, Dec 18, 2018","7:30p","Los Angeles Lakers",110,"Brooklyn Nets",115,"Box Score","","17,732",""
"124","Tue, Dec 18, 2018","9:00p","Dallas Mavericks",118,"Denver Nuggets",126,"Box Score","","15,764",""
"125","Tue, Dec 18, 2018","7:00p","Cleveland Cavaliers",92,"Indiana Pacers",91,"Box Score","","15,630",""
"126","Wed, Dec 19, 2018","7:30p","Phoenix Suns",111,"Boston Celtics",103,"Box Score","","18,624",""
"127","Wed, Dec 19, 2018","8:00p","Brooklyn Nets",96,"Chicago Bulls",93,"Box Score","","18,065",""
"128","Wed, Dec 19, 2018","7:00p","Cleveland Cavaliers",99,"Charlotte Hornets",110,"Box Score","","15,179",""
"129","Wed, Dec 19, 2018","8:00p","Washington Wizards",118,"Houston Rockets",136,"Box Score","","18,055",""
"130","Wed, Dec 19, 2018","8:00p","New Orleans Pelicans",115,"Milwaukee Bucks",123,"Box Score","","17,341",""
"131","Wed, Dec 19, 2018","8:00p","Detroit Pistons",129,"Minnesota Timberwolves",123,"Box Score","OT","15,883",""
"132","Wed, Dec 19, 2018","7:00p","San Antonio Spurs",129,"Orlando Magic",90,"Box Score","","17,138",""
"133","Wed, Dec 19, 2018","7:00p","New York Knicks",109,"Philadelphia 76ers",131,"Box Score","","20,424",""
"134","Wed, Dec 19, 2018","10:00p","Memphis Grizzlies",92,"Portland Trail Blazers",99,"Box Score","","19,412",""
"135","Wed, Dec 19, 2018","10:00p","Oklahoma City Thunder",132,"Sacramento Kings",113,"Box Score","","17,583",""
"136","Wed, Dec 19, 2018","7:30p","Indiana Pacers",96,"Toronto Raptors",99,"Box Score","","19,800",""
"137","Wed, Dec 19, 2018","9:00p","Golden State Warriors",103,"Utah Jazz",108,"Box Score","","18,306",""
"138","Thu, Dec 20, 2018","10:30p","Dallas Mavericks",121,"Los Angeles Clippers",125,"Box Score","","17,528",""
"139","Thu, Dec 20, 2018","8:00p","Houston Rockets",99,"Miami Heat",101,"Box Score","","19,600",""
"140","Fri, Dec 21, 2018","8:00p","Milwaukee Bucks",120,"Boston Celtics",107,"Box Score","","18,624",""
"141","Fri, Dec 21, 2018","7:30p","Indiana Pacers",114,"Brooklyn Nets",106,"Box Score","","13,302",""
"142","Fri, Dec 21, 2018","8:00p","Orlando Magic",80,"Chicago Bulls",90,"Box Score","","20,436",""
"143","Fri, Dec 21, 2018","7:00p","Detroit Pistons",86,"Charlotte Hornets",98,"Box Score","","15,812",""
"144","Fri, Dec 21, 2018","10:30p","New Orleans Pelicans",104,"Los Angeles Lakers",112,"Box Score","","18,997",""
"145","Fri, Dec 21, 2018","7:30p","Atlanta Hawks",114,"New York Knicks",107,"Box Score","","19,080",""
"146","Fri, Dec 21, 2018","10:00p","Utah Jazz",120,"Portland Trail Blazers",90,"Box Score","","19,127",""
"147","Fri, Dec 21, 2018","10:00p","Memphis Grizzlies",99,"Sacramento Kings",102,"Box Score","","16,369",""
"148","Fri, Dec 21, 2018","8:30p","Minnesota Timberwolves",98,"San Antonio Spurs",124,"Box Score","","17,708",""
"149","Fri, Dec 21, 2018","7:00p","Cleveland Cavaliers",110,"Toronto Raptors",126,"Box Score","","19,800",""
"150","Sat, Dec 22, 2018","8:30p","Dallas Mavericks",116,"Golden State Warriors",120,"Box Score","","19,596",""
"151","Sat, Dec 22, 2018","8:00p","San Antonio Spurs",101,"Houston Rockets",108,"Box Score","","18,055",""
"152","Sat, Dec 22, 2018","5:00p","Denver Nuggets",111,"Los Angeles Clippers",132,"Box Score","","16,571",""
"153","Sat, Dec 22, 2018","8:00p","Milwaukee Bucks",87,"Miami Heat",94,"Box Score","","19,600",""
"154","Sat, Dec 22, 2018","7:30p","Toronto Raptors",101,"Philadelphia 76ers",126,"Box Score","","20,691",""
"155","Sat, Dec 22, 2018","9:00p","Oklahoma City Thunder",107,"Utah Jazz",106,"Box Score","","18,306",""
"156","Sat, Dec 22, 2018","7:00p","Phoenix Suns",146,"Washington Wizards",149,"Box Score","3OT","16,571",""
"157","Sun, Dec 23, 2018","6:00p","Charlotte Hornets",103,"Boston Celtics",119,"Box Score","","18,624",""
"158","Sun, Dec 23, 2018","6:00p","Phoenix Suns",103,"Brooklyn Nets",111,"Box Score","","15,310",""
"159","Sun, Dec 23, 2018","6:00p","Chicago Bulls",112,"Cleveland Cavaliers",92,"Box Score","","19,432",""
"160","Sun, Dec 23, 2018","4:00p","Atlanta Hawks",98,"Detroit Pistons",95,"Box Score","","16,532",""
"161","Sun, Dec 23, 2018","8:30p","Los Angeles Clippers",127,"Golden State Warriors",129,"Box Score","","19,596",""
"162","Sun, Dec 23, 2018","5:00p","Washington Wizards",89,"Indiana Pacers",105,"Box Score","","17,923",""
"163","Sun, Dec 23, 2018","9:30p","Memphis Grizzlies",107,"Los Angeles Lakers",99,"Box Score","","18,997",""
"164","Sun, Dec 23, 2018","8:00p","Minnesota Timberwolves",114,"Oklahoma City Thunder",112,"Box Score","","18,203",""
"165","Sun, Dec 23, 2018","6:00p","Miami Heat",115,"Orlando Magic",91,"Box Score","","18,846",""
"166","Sun, Dec 23, 2018","9:00p","Dallas Mavericks",118,"Portland Trail Blazers",121,"Box Score","OT","19,707",""
"167","Sun, Dec 23, 2018","6:00p","New Orleans Pelicans",117,"Sacramento Kings",122,"Box Score","","16,643",""
"168","Tue, Dec 25, 2018","5:30p","Philadelphia 76ers",114,"Boston Celtics",121,"Box Score","OT","18,624",""
"169","Tue, Dec 25, 2018","8:00p","Los Angeles Lakers",127,"Golden State Warriors",101,"Box Score","","19,596",""
"170","Tue, Dec 25, 2018","3:00p","Oklahoma City Thunder",109,"Houston Rockets",113,"Box Score","","18,055",""
"171","Tue, Dec 25, 2018","12:00p","Milwaukee Bucks",109,"New York Knicks",95,"Box Score","","19,812",""
"172","Tue, Dec 25, 2018","10:30p","Portland Trail Blazers",96,"Utah Jazz",117,"Box Score","","18,306",""
"173","Wed, Dec 26, 2018","7:30p","Indiana Pacers",129,"Atlanta Hawks",121,"Box Score","","15,026",""
"174","Wed, Dec 26, 2018","7:30p","Charlotte Hornets",132,"Brooklyn Nets",134,"Box Score","2OT","14,309",""
"175","Wed, Dec 26, 2018","8:00p","Minnesota Timberwolves",119,"Chicago Bulls",94,"Box Score","","21,852",""
"176","Wed, Dec 26, 2018","8:30p","New Orleans Pelicans",119,"Dallas Mavericks",122,"Box Score","","20,340",""
"177","Wed, Dec 26, 2018","7:00p","Washington Wizards",95,"Detroit Pistons",106,"Box Score","","17,534",""
"178","Wed, Dec 26, 2018","10:30p","Sacramento Kings",118,"Los Angeles Clippers",127,"Box Score","","19,068",""
"179","Wed, Dec 26, 2018","8:00p","Cleveland Cavaliers",87,"Memphis Grizzlies",95,"Box Score","","16,424",""
"180","Wed, Dec 26, 2018","7:30p","Toronto Raptors",106,"Miami Heat",104,"Box Score","","19,902",""
"181","Wed, Dec 26, 2018","7:00p","Phoenix Suns",122,"Orlando Magic",120,"Box Score","OT","16,755",""
"182","Wed, Dec 26, 2018","8:30p","Denver Nuggets",103,"San Antonio Spurs",111,"Box Score","","18,408",""
"183","Thu, Dec 27, 2018","10:30p","Portland Trail Blazers",110,"Golden State Warriors",109,"Box Score","OT","19,596",""
"184","Thu, Dec 27, 2018","8:00p","Boston Celtics",113,"Houston Rockets",127,"Box Score","","18,055",""
"185","Thu, Dec 27, 2018","8:00p","New York Knicks",96,"Milwaukee Bucks",112,"Box Score","","18,058",""
"186","Thu, Dec 27, 2018","10:00p","Los Angeles Lakers",116,"Sacramento Kings",117,"Box Score","","17,583",""
"187","Thu, Dec 27, 2018","10:30p","Philadelphia 76ers",114,"Utah Jazz",97,"Box Score","","18,306",""
"188","Fri, Dec 28, 2018","7:00p","Brooklyn Nets",87,"Charlotte Hornets",100,"Box Score","","19,411",""
"189","Fri, Dec 28, 2018","9:00p","San Antonio Spurs",99,"Denver Nuggets",102,"Box Score","","20,076",""
"190","Fri, Dec 28, 2018","7:00p","Detroit Pistons",88,"Indiana Pacers",125,"Box Score","","17,923",""
"191","Fri, Dec 28, 2018","10:30p","Los Angeles Clippers",118,"Los Angeles Lakers",107,"Box Score","","18,997",""
"192","Fri, Dec 28, 2018","8:00p","Cleveland Cavaliers",94,"Miami Heat",118,"Box Score","","19,617",""
"193","Fri, Dec 28, 2018","8:00p","Atlanta Hawks",123,"Minnesota Timberwolves",120,"Box Score","OT","18,978",""
"194","Fri, Dec 28, 2018","8:00p","Dallas Mavericks",112,"New Orleans Pelicans",114,"Box Score","","18,364",""
"195","Fri, Dec 28, 2018","7:00p","Toronto Raptors",87,"Orlando Magic",116,"Box Score","","18,846",""
"196","Fri, Dec 28, 2018","9:00p","Oklahoma City Thunder",118,"Phoenix Suns",102,"Box Score","","18,055",""
"197","Fri, Dec 28, 2018","7:00p","Chicago Bulls",101,"Washington Wizards",92,"Box Score","","20,409",""
"198","Sat, Dec 29, 2018","7:30p","Cleveland Cavaliers",108,"Atlanta Hawks",111,"Box Score","","16,460",""
"199","Sat, Dec 29, 2018","10:30p","San Antonio Spurs",122,"Los Angeles Clippers",111,"Box Score","","19,068",""
"200","Sat, Dec 29, 2018","8:00p","Boston Celtics",112,"Memphis Grizzlies",103,"Box Score","","17,794",""
"201","Sat, Dec 29, 2018","5:00p","Brooklyn Nets",115,"Milwaukee Bucks",129,"Box Score","","17,918",""
"202","Sat, Dec 29, 2018","7:00p","Houston Rockets",108,"New Orleans Pelicans",104,"Box Score","","17,555",""
"203","Sat, Dec 29, 2018","9:00p","Denver Nuggets",122,"Phoenix Suns",118,"Box Score","","14,975",""
"204","Sat, Dec 29, 2018","10:00p","Golden State Warriors",115,"Portland Trail Blazers",105,"Box Score","","19,797",""
"205","Sat, Dec 29, 2018","8:00p","New York Knicks",97,"Utah Jazz",129,"Box Score","","18,306",""
"206","Sat, Dec 29, 2018","7:00p","Charlotte Hornets",126,"Washington Wizards",130,"Box Score","","17,197",""
"207","Sun, Dec 30, 2018","7:00p","Oklahoma City Thunder",103,"Dallas Mavericks",105,"Box Score","","20,380",""
"208","Sun, Dec 30, 2018","9:30p","Sacramento Kings",114,"Los Angeles Lakers",121,"Box Score","","18,997",""
"209","Sun, Dec 30, 2018","6:00p","Minnesota Timberwolves",113,"Miami Heat",104,"Box Score","","19,600",""
"210","Sun, Dec 30, 2018","3:30p","Detroit Pistons",107,"Orlando Magic",109,"Box Score","","17,761",""
"211","Sun, Dec 30, 2018","9:00p","Philadelphia 76ers",95,"Portland Trail Blazers",129,"Box Score","","19,393",""
"212","Sun, Dec 30, 2018","6:00p","Chicago Bulls",89,"Toronto Raptors",95,"Box Score","","19,800",""
"213","Mon, Dec 31, 2018","6:00p","Orlando Magic",100,"Charlotte Hornets",125,"Box Score","","14,694",""
"214","Mon, Dec 31, 2018","7:00p","Memphis Grizzlies",101,"Houston Rockets",113,"Box Score","","18,055",""
"215","Mon, Dec 31, 2018","3:00p","Atlanta Hawks",108,"Indiana Pacers",116,"Box Score","","17,923",""
"216","Mon, Dec 31, 2018","8:00p","Minnesota Timberwolves",114,"New Orleans Pelicans",123,"Box Score","","14,904",""
"217","Mon, Dec 31, 2018","8:00p","Dallas Mavericks",102,"Oklahoma City Thunder",122,"Box Score","","18,203",""
"218","Mon, Dec 31, 2018","9:00p","Golden State Warriors",132,"Phoenix Suns",109,"Box Score","","16,906",""
"219","Mon, Dec 31, 2018","7:00p","Boston Celtics",111,"San Antonio Spurs",120,"Box Score","","18,354",""
