"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Var.7","Var.8","Attend.","Notes"
"62","Wed, Oct 24, 2018","7:30p","Minnesota Timberwolves",105,"Toronto Raptors",112,"Box Score","","19,800",NA
"63","Thu, Oct 25, 2018","7:00p","Cleveland Cavaliers",103,"Detroit Pistons",110,"Box Score","","15,896",NA
"64","Thu, Oct 25, 2018","10:30p","Denver Nuggets",114,"Los Angeles Lakers",121,"Box Score","","18,997",NA
"65","Thu, Oct 25, 2018","8:00p","Boston Celtics",101,"Oklahoma City Thunder",95,"Box Score","","18,203",NA
"66","Thu, Oct 25, 2018","7:00p","Portland Trail Blazers",128,"Orlando Magic",114,"Box Score","","15,114",NA
"67","Fri, Oct 26, 2018","7:00p","Chicago Bulls",106,"Charlotte Hornets",135,"Box Score","","15,220",NA
"68","Fri, Oct 26, 2018","8:00p","Los Angeles Clippers",133,"Houston Rockets",113,"Box Score","","18,055",NA
"69","Fri, Oct 26, 2018","8:00p","Milwaukee Bucks",125,"Minnesota Timberwolves",95,"Box Score","","16,334",NA
"70","Fri, Oct 26, 2018","8:00p","Brooklyn Nets",115,"New Orleans Pelicans",117,"Box Score","","15,272",NA
"71","Fri, Oct 26, 2018","7:30p","Golden State Warriors",128,"New York Knicks",100,"Box Score","","19,812",NA
"72","Fri, Oct 26, 2018","10:00p","Washington Wizards",112,"Sacramento Kings",116,"Box Score","","14,101",NA
"73","Fri, Oct 26, 2018","7:30p","Dallas Mavericks",107,"Toronto Raptors",116,"Box Score","","19,800",NA
"74","Sat, Oct 27, 2018","7:30p","Chicago Bulls",97,"Atlanta Hawks",85,"Box Score","","15,549",NA
"75","Sat, Oct 27, 2018","7:30p","Indiana Pacers",119,"Cleveland Cavaliers",107,"Box Score","","19,432",NA
"76","Sat, Oct 27, 2018","7:00p","Boston Celtics",109,"Detroit Pistons",89,"Box Score","","18,120",NA
"77","Sat, Oct 27, 2018","8:00p","Phoenix Suns",96,"Memphis Grizzlies",117,"Box Score","","15,926",NA
"78","Sat, Oct 27, 2018","8:00p","Portland Trail Blazers",111,"Miami Heat",120,"Box Score","","19,600",NA
"79","Sat, Oct 27, 2018","8:30p","Orlando Magic",91,"Milwaukee Bucks",113,"Box Score","","17,341",NA
"80","Sat, Oct 27, 2018","7:00p","Utah Jazz",132,"New Orleans Pelicans",111,"Box Score","","16,373",NA
"81","Sat, Oct 27, 2018","7:30p","Charlotte Hornets",103,"Philadelphia 76ers",105,"Box Score","","20,203",NA
"82","Sat, Oct 27, 2018","8:30p","Los Angeles Lakers",106,"San Antonio Spurs",110,"Box Score","","18,589",NA
"83","Sun, Oct 28, 2018","5:00p","Golden State Warriors",120,"Brooklyn Nets",114,"Box Score","","17,732",NA
"84","Sun, Oct 28, 2018","7:00p","Utah Jazz",113,"Dallas Mavericks",104,"Box Score","","19,571",NA
"85","Sun, Oct 28, 2018","9:30p","Washington Wizards",104,"Los Angeles Clippers",136,"Box Score","","16,491",NA
"86","Sun, Oct 28, 2018","7:00p","Phoenix Suns",110,"Oklahoma City Thunder",117,"Box Score","","18,203",NA
"87","Mon, Oct 29, 2018","8:00p","Golden State Warriors",149,"Chicago Bulls",124,"Box Score","","21,076",NA
"88","Mon, Oct 29, 2018","9:00p","New Orleans Pelicans",111,"Denver Nuggets",116,"Box Score","","15,217",NA
"89","Mon, Oct 29, 2018","7:00p","Portland Trail Blazers",103,"Indiana Pacers",93,"Box Score","","15,788",NA
"90","Mon, Oct 29, 2018","7:30p","Sacramento Kings",123,"Miami Heat",113,"Box Score","","19,600",NA
"91","Mon, Oct 29, 2018","8:00p","Toronto Raptors",109,"Milwaukee Bucks",124,"Box Score","","17,341",NA
"92","Mon, Oct 29, 2018","8:00p","Los Angeles Lakers",120,"Minnesota Timberwolves",124,"Box Score","","18,978",NA
"93","Mon, Oct 29, 2018","7:30p","Brooklyn Nets",96,"New York Knicks",115,"Box Score","","19,221",NA
"94","Mon, Oct 29, 2018","7:00p","Atlanta Hawks",92,"Philadelphia 76ers",113,"Box Score","","20,269",NA
"95","Mon, Oct 29, 2018","8:30p","Dallas Mavericks",108,"San Antonio Spurs",113,"Box Score","OT","18,354",NA
"96","Tue, Oct 30, 2018","7:30p","Detroit Pistons",105,"Boston Celtics",108,"Box Score","","18,624",NA
"97","Tue, Oct 30, 2018","7:00p","Miami Heat",113,"Charlotte Hornets",125,"Box Score","","14,117",NA
"98","Tue, Oct 30, 2018","7:00p","Atlanta Hawks",114,"Cleveland Cavaliers",136,"Box Score","","19,432",NA
"99","Tue, Oct 30, 2018","8:00p","Portland Trail Blazers",104,"Houston Rockets",85,"Box Score","","18,055",NA
"100","Tue, Oct 30, 2018","8:00p","Washington Wizards",95,"Memphis Grizzlies",107,"Box Score","","14,106",NA
"101","Tue, Oct 30, 2018","8:00p","Los Angeles Clippers",110,"Oklahoma City Thunder",128,"Box Score","","18,203",NA
"102","Tue, Oct 30, 2018","7:00p","Sacramento Kings",107,"Orlando Magic",99,"Box Score","","15,074",NA
"103","Tue, Oct 30, 2018","7:30p","Philadelphia 76ers",112,"Toronto Raptors",129,"Box Score","","19,800",NA
"104","Wed, Oct 31, 2018","7:30p","Detroit Pistons",119,"Brooklyn Nets",120,"Box Score","OT","12,862",NA
"105","Wed, Oct 31, 2018","8:00p","Denver Nuggets",108,"Chicago Bulls",107,"Box Score","OT","19,027",NA
"106","Wed, Oct 31, 2018","10:30p","New Orleans Pelicans",121,"Golden State Warriors",131,"Box Score","","19,596",NA
"107","Wed, Oct 31, 2018","10:30p","Dallas Mavericks",113,"Los Angeles Lakers",114,"Box Score","","18,997",NA
"108","Wed, Oct 31, 2018","8:00p","Utah Jazz",125,"Minnesota Timberwolves",128,"Box Score","","10,079",NA
"109","Wed, Oct 31, 2018","8:00p","Indiana Pacers",107,"New York Knicks",101,"Box Score","","18,295",NA
"110","Wed, Oct 31, 2018","10:30p","San Antonio Spurs",120,"Phoenix Suns",90,"Box Score","","12,328",NA
